ID,Name,Address,Birth Date,City,Created At,Email,Latitude,Longitude,Password,Source,State,Zip
1,Hudson Borer,9611-9809 West Rosedale Road,1986-12-12,Wood River,2017-10-07T01:34:35.462,borer-hudson@yahoo.com,40.71314890000001,-98.5259864,ccca881f-3e4b-4e5c-8336-354103604af6,Twitter,NE,68883
2,Domenica Williamson,101 4th Street,1967-06-10,Searsboro,2018-04-09T12:10:05.167,williamson-domenica@yahoo.com,41.5813224,-92.6991321,eafc45bf-cf8e-4c96-ab35-ce44d0021597,Affiliate,IA,50242
3,Lina Heaney,29494 Anderson Drive,1961-12-18,Sandstone,2017-06-27T06:06:20.625,lina.heaney@yahoo.com,46.11973039999999,-92.8416108,36f67891-34e5-4439-a8a4-2d9246775ff8,Facebook,MN,55072
4,Arnold Adams,2-7900 Cuerno Verde Road,1992-08-12,Rye,2019-02-21T13:59:15.348,adams.arnold@gmail.com,37.9202933,-104.9726909,537a727b-7525-44a3-99c8-8fdc488fbf02,Google,CO,81069
5,Dominique Leffler,761 Fish Hill Road,1974-04-20,Beaver Dams,2017-09-05T03:36:44.811,leffler.dominique@hotmail.com,42.348954,-77.056681,6a802b6c-4da8-4881-9ca6-4f69085c7c14,Twitter,NY,14812
6,Rene Muller,1243 West Whitney Street,1983-03-27,Morse,2016-09-22T10:08:29.599,rene.muller@gmail.com,30.1514772,-92.4861786,760495fb-9c38-4351-a6ee-4743d10d345e,Google,LA,70559
7,Roselyn Bosco,630 Coaker Road,1996-01-19,Leakesville,2018-05-24T06:18:20.069,bosco.roselyn@hotmail.com,31.2341055,-88.5856948,43adf4af-055b-4a39-bc06-489fb0ffcf40,Facebook,MS,39451
8,Aracely Jenkins,1167 East 570th Avenue,1973-06-05,Pittsburg,2017-08-18T02:55:11.873,aracely.jenkins@gmail.com,37.43472089999999,-94.6426865,6bb01b7f-6426-47d3-bfca-95dcc42b8b27,Facebook,KS,66762
9,Anais Ward,5816-5894 280th Street,1999-10-16,Ida Grove,2018-10-13T23:52:56.176,ward.anais@gmail.com,42.29790209999999,-95.4673587,a3de5208-2f2f-4c81-9fe7-8d254bd5095d,Twitter,IA,51445
10,Tressa White,13081-13217 Main Street,1968-01-13,Upper Sandusky,2018-08-16T12:16:30.307,white.tressa@yahoo.com,40.8006673,-83.2838391,81052233-b32e-43cb-9505-700dbd8d3fca,Google,OH,43351
11,Lolita Schaefer,495 Juniper Road,1982-08-20,Pilot Mound,2018-03-19T07:17:22.759,schaefer-lolita@hotmail.com,42.1394217,-93.982366,ceddd766-924b-4856-9dcb-a15b4c1b154c,Facebook,IA,50223
12,Ciara Larson,16701-16743 449th Avenue,1982-12-16,Florence,2018-06-27T17:25:24.344,ciara-larson@hotmail.com,44.9564152,-97.2287266,eb925d11-ea2f-41fb-a490-72b7c2b24dc0,Facebook,SD,57235
13,Mustafa Thiel,2993 Hoskings Ranch Road,1963-07-20,Santa Ysabel,2017-09-21T16:21:06.408,mustafa.thiel@hotmail.com,33.08172,-116.661853,bb85c7fa-4314-4e41-a060-7d0159f16931,Facebook,CA,92070
14,Lavonne Senger,3964 Chico River Road,1963-09-22,Chico,2018-06-17T23:29:39.271,senger.lavonne@yahoo.com,39.6485802,-121.9343322,8beebcc9-a376-447a-812f-7544fdc52ec7,Facebook,CA,95928
15,Bertrand Romaguera,258 Opal Road,2000-02-14,El Paso,2018-12-20T17:50:32.296,romaguera.bertrand@gmail.com,35.1080351,-92.0101859,2734ae7a-aa25-4907-9d2e-a6992750db60,Twitter,AR,72045
16,Khalid Pouros,3234 County Road 7,1961-09-16,Greensboro,2016-05-14T23:44:56.182,khalid-pouros@yahoo.com,32.7042678,-87.54135959999999,e60e4c1e-c9dc-47fe-9f4b-138651cebd85,Google,AL,36744
17,Lora Cronin,6111 Rogue Riv,1990-02-16,Gold Beach,2017-03-05T20:38:57.437,lora-cronin@gmail.com,42.5048529,-124.1878367,1b414387-e9c0-4b97-ba60-263268e38f3d,Organic,OR,97444
18,Arely Pollich,13116 Northeast Sandy Boulevard,1990-06-27,Portland,2017-04-25T20:11:39.43,pollich-arely@yahoo.com,45.554885,-122.5277436,251cd4bd-d7c9-4704-a864-edd953952a9b,Affiliate,OR,97230
